Trial,Target_Seconds,Target_ML,Actual_ML,ML_Per_Sec
1,3.41,81.8,81,23.75366569
2,7.79,187,186,23.87676508
3,7.93,190.3,193,24.33795712
4,6.49,155.8,156,24.03697997
5,7.91,189.8,189,23.89380531
6,5.91,141.8,143,24.1962775
7,2.15,51.6,51,23.72093023
8,2.05,49.2,49,23.90243902
9,3.13,75.1,75,23.96166134
10,6.96,167,169,24.2816092
11,4.41,105.8,106,24.03628118
12,2.67,64.1,65,24.34456929
13,7.86,188.6,188,23.91857506
14,4.92,118.1,117,23.7804878
15,5.66,135.8,135,23.85159011
16,4.69,112.6,113,24.09381663
17,2.33,55.9,55,23.60515021
18,6.36,152.6,154,24.21383648
19,3.11,74.6,74,23.79421222
20,6.44,154.6,155,24.06832298
21,5.14,123.4,122,23.73540856
22,4.73,113.5,112,23.67864693
23,6.16,147.8,147,23.86363636
24,2.52,60.5,60,23.80952381
25,4.07,97.7,97,23.83292383
26,4.98,119.5,119,23.89558233
27,4.17,100.1,99,23.74100719
28,1.93,46.3,47,24.35233161
29,7.53,180.7,180,23.90438247
30,1.12,26.9,27,24.10714286
31,6.06,145.4,144,23.76237624
32,4.04,97,96,23.76237624
33,7.29,175,174,23.86831276
34,1.72,41.3,41,23.8372093
35,4.59,110.2,109,23.74727669
36,5.7,136.8,136,23.85964912
37,7.67,184.1,182,23.72881356
38,3.25,78,77,23.69230769
39,4.96,119,119,23.99193548
40,7.12,170.9,173,24.29775281
41,6.21,149,147,23.67149758
42,3.06,73.4,73,23.85620915
43,3.78,90.7,92,24.33862434
44,1.21,29,29,23.96694215
45,5,120,119,23.8
46,7.08,169.9,170,24.01129944
47,2.03,48.7,48,23.6453202
48,5.52,132.5,131,23.73188406
49,6.64,159.4,160,24.09638554
50,1.93,46.3,45,23.31606218
51,7.67,184.1,183,23.85919166
52,1.15,27.6,27,23.47826087
53,2.94,70.6,70,23.80952381
54,2.65,63.6,64,24.1509434
55,2.98,71.5,71,23.82550336
56,4.07,97.7,98,24.07862408
57,5.36,128.6,130,24.25373134
58,4.35,104.4,105,24.13793103
59,4.28,102.7,104,24.29906542
60,6.59,158.2,160,24.27921093
61,6.02,144.5,144,23.92026578
62,6.03,144.7,144,23.88059701
63,5.39,129.4,128,23.74768089
64,6.27,150.5,152,24.24242424
65,2.09,50.2,50,23.92344498
66,2.06,49.4,50,24.27184466
67,6.8,163.2,165,24.26470588
68,7.07,169.7,170,24.04526167
69,1.31,31.4,32,24.42748092
70,5.08,121.9,121,23.81889764
71,3.3,79.2,79,23.93939394
72,3.41,81.8,81,23.75366569
73,7.28,174.7,173,23.76373626
74,7.25,174,175,24.13793103
75,2.21,53,53,23.98190045
76,6.97,167.3,166,23.81635581
77,1.61,38.6,38,23.60248447
78,2.54,61,60,23.62204724
79,6.08,145.9,147,24.17763158
80,1.94,46.6,47,24.22680412
81,5.86,140.6,139,23.72013652
82,1.34,32.2,32,23.88059701
83,2.7,64.8,65,24.07407407
84,6.45,154.8,153,23.72093023
85,6.41,153.8,154,24.024961
86,6.93,166.3,167,24.0981241
87,5.86,140.6,142,24.23208191
88,2.94,70.6,70,23.80952381
89,3.17,76.1,75,23.65930599
90,3.29,79,80,24.31610942
91,5.51,132.2,134,24.31941924
92,4.14,99.4,101,24.39613527
93,2.03,48.7,49,24.13793103
94,2.98,71.5,72,24.16107383
95,1.1,26.4,27,24.54545455
96,2.48,59.5,60,24.19354839
97,3.43,82.3,81,23.61516035
98,5.15,123.6,124,24.0776699
99,1.99,47.8,47,23.61809045
100,5.97,143.3,142,23.78559464
