N,P,K,temperature,humidity,pH,rainfall,crop,S,Zn,Fe,Cu,Mn,B,OC,Recommended Fertilizer(s),Crop_N_kg_per_ha,Crop_P2O5_kg_per_ha,Crop_K2O_kg_per_ha,Crop_Notes,N_dosage_kg_per_ha,P2O5_dosage_kg_per_ha,K2O_dosage_kg_per_ha,Dosage_Notes,dosage
120.0,65.0,45.0,30.0,60.41,6.5,900.0,cotton,23.99551670365233,29.838113994439297,57.548714617169374,32.93068805206882,91.81499302649932,24.62698766603416,0.59,Balanced NPK (14-14-14),120.0,60.0,60.0,Standard Application,120.0,60.0,60.0,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
115.0,40.0,50.0,15.0,60.41,7.0,800.0,wheat,23.99551670365233,29.838113994439297,57.548714617169374,32.93068805206882,91.81499302649932,24.62698766603416,0.59,Urea (N); DAP (P); MOP (K),120.0,60.0,40.0,Broadcasting (Medium feeder),120.0,60.0,40.0,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
100.0,55.0,55.0,40.0,60.41,6.0,800.0,kangkong,23.99551670365233,29.838113994439297,57.548714617169374,32.93068805206882,91.81499302649932,24.62698766603416,0.59,Urea (N); Complete (14-14-14); MOP (K),150.0,60.0,60.0,Side-dressing / Drenching (Heavy feeder),150.0,60.0,60.0,Side-dressing / Drenching (Heavy feeder),"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing / Drenching (Heavy feeder)"
103.54745391362556,10.0411947,88.19657703705504,24.82694043642336,59.27196546327667,6.148649577842756,543.5011372846826,mulberry,6.638836777,25.49812175991267,131.8499301048499,9.045187557549555,738.6689905591176,12.44034913187014,0.5693804377831262,Balanced NPK (14-14-14),103.12642666591547,63.58620638,63.900741324915295,Standard Application,300.0,133.2497033455203,44.23335950112916,Standard Application,"N: 327.90 kg/ha, P2O5: 133.25 kg/ha, K2O: 44.23 kg/ha. Notes: Standard Application"
55.71415555640968,24.42772965340174,41.676319153788825,24.05216186515419,91.67142560836656,6.097318349705123,0.0,watermelon,23.45588928123736,20.775092427181697,55.24029274308117,25.033212795561944,68.95688495895507,17.39476136095039,0.652187219,Balanced NPK (14-14-14),78.23432017338646,60.06704859313418,61.897376758516565,Standard Application,67.41677046558998,48.77340346650875,10.0,Standard Application,"N: 67.42 kg/ha, P2O5: 48.77 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
19.310899752234324,25.77276339073625,21.20366236021474,27.241232958796985,60.71908327598084,6.941205643697367,865.9402742575456,urad,32.98345743671225,19.441726748411167,53.70062815146285,29.20208290199717,98.9726063946718,21.46714167797004,0.5407603090360655,DAP (P); Starter Urea (N),3.04640732,31.420877159015035,6.718801829242345,Side-dressing (Light-medium feeder),20.0,40.0,20.0,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
150.0,28.053,146.0,29.355,51.455,6.298,225.415,wheat,15.172,30.354,57.549,23.845,91.815,24.627,0.59,Urea (N); DAP (P); MOP (K),156.478,73.68,46.638,Broadcasting (Medium feeder),120.0,60.0,40.0,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
48.91693215002524,81.28621734537458,22.283674609893776,16.945646056757884,27.55840060927809,5.7889639008244185,106.69494272310276,kidneybeans,26.94524523088653,37.35465422039436,61.63159086702423,24.518044078314944,134.85215432932665,22.012922580874523,0.6153097058316119,DAP (P); Starter Urea (N),24.24010085322869,41.63791652281138,30.90319507112299,Side-dressing (Light-medium feeder),25.0,45.0,20.0,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
1.0,8.0,26.0,27.5136304,94.18955816,5.562911913,156.6732553,coconut,23.99551670365233,29.838113994439297,57.548714617169374,32.93068805206882,91.81499302649932,24.62698766603416,0.59,Balanced NPK (14-14-14),120.0,60.0,60.0,Standard Application,300.0,150.0,300.0,Standard Application,"N: 500.00 kg/ha, P2O5: 320.00 kg/ha, K2O: 1200.00 kg/ha. Notes: Standard Application"
25.0,85.0,24.0,30.135,48.423,7.305,241.955,blackgram,19.437,31.08,67.73,32.931,91.815,22.188,0.59,Balanced NPK (14-14-14),89.969,54.941,69.536,Standard Application,25.0,50.0,25.0,Standard Application,"N: 25.00 kg/ha, P2O5: 50.00 kg/ha, K2O: 25.00 kg/ha. Notes: Standard Application"
